id,name,structure,city,postal,web,priority,logo_url
or,AvniR by cd2e,Société,Loos-en-Gohelle,62750,http://avnir.org/,1,
os,Backacia,Société,Paris,75011,https://backacia.com/,1,
p0,Bati Récup',Société,Langouet,35630,www.batirecup.com,1,
p6,Beaumarié Ferronerie,Société,Jouars-Pontchartrain,78760,http://www.beaumarieferronnerie.com/,1,
p8,Bellastock,Société,Paris,75019,https://bellastock.com/,1,
xy,Bellastock Marseille,Société,Marseille,13009,https://bellastock.com/,1,
pA,BH Matériaux anciens,Société,Lauzerte,82110,http://bhmateriauxanciens.com/,1,
10b,BIYA,Association,Le Mans,72000,https://assobiya.com/,1,
11H,BLAU (BLANCKAERT ARCHITECTURE ET URBANISME),Société,Mons-en-Barœul,59370,http://www.bl-au.com/#/actualite,1,
pE,Borderie Restauration,Société,Lencloître,86140,https://www.borderie-restauration.fr/,1,
pF,Bourgogne Matériaux anciens,Société,Marmagne,71710,https://www.bourgogne-materiaux-anciens.fr/,1,
pG,Bresson Schindlbeck Architectes Associées,Société,Marseille,13006,http://bs-architecture.fr/,1,
pH,Bricobidule,Société,Les Échelles,73360,https://www.bricobidule.fr/,1,
pI,Bricoboutique,Association,Voiron,38500,https://www.bricoboutique-voiron.fr/,1,
pK,Brocante d'antan,Société,Orsans,11270,http://www.brocantedantan.com/,1,
pL,Bureau Tournesol,Société,Toulouse,31500,89393932200010,1,
pQ,CAVAPU,Association,Saint-Denis,93200,http://www.cavapu.fr/,1,
11k,Cerestia,Association,Montanges,01200,https://www.cerestia-home.fr/,1,
pS,Circolab,Association,Paris,75008,https://circolab.eu/,1,
pU,Circularis,Société,Pont-Évêque,38780,http://www.circularis.fr/,1,
pV,Claude Augustin Matériaux Anciens,Société,Les Chères,69380,http://www.claudeaugustin.com/fr/,1,
pW,Co-Recyclage,Société,Paris,75009,https://www.corecyclage.info/corporate/,1,
16k,Collectif Melusine,Plateforme de reemploi PEMB (enquete CERC-NA),Lusignan,86600,https://collectifmelusine.org,1,
pj,Cycle Up,Société,Paris,75010,https://www.cycle-up.fr/,1,
y8,Cycles & Sources,Société,Montpellier,34000,https://www.cycles-et-sources.fr/,1,
pi,Côté Portes,Société,Grasse,06130,http://www.portes-anciennes06.com/,1,
16q,DAFARnaum,Structure ESS (annuaire CRESS Bretagne 2024),Concarneau,29900,https://dafarnaum.fr,1,
pm,Decobat et Aménagement,Société,Prin-Deyrançon,79210,https://www.decobatamg.com,1,
10f,DEKRA Industrial,Société,Montpellier,34965,https://www.dekra-industrial.fr/news/diagnostic-pemd-produits-equipements-materiaux-dechets,1,
pu,Didier Fanget,Société,Boën-sur-Lignon,42130,https://opalis.eu/fr/revendeurs/didier-fanget,1,
pv,Dubost Père et Fils,Société,Aix-en-Provence,13540,http://www.dubost-materiauxanciens.fr/,1,
pw,Dussel Démolition,Société,Maisons-Alfort,94700,http://www.dussel-demolition.com/,1,
pq,Démolition William Perreault,Société,Chambourcy,78240,https://materiaux.demolition-perreault.fr/,1,
pr,Démopur,Société,Les Éparres,38300,https://www.demopur.com/,1,
q0,Eco + Carbone,Société,Paris,75008,https://www.ecocarbone.fr/,1,
q1,Eco + Carbone,Société,Lyon,69006,https://www.ecocarbone.fr/,1,
q2,Eco + Carbone,Société,Rennes,35000,https://www.ecocarbone.fr/,1,
px,Econolog,Société,Plœmeur,56270,https://econolog.fr/,1,
yw,Economie circulaire 56,Association,Vannes,56000,https://www.ec-56.bzh/,1,
10z,eEgénie,Société,Lyon,69007,www.eegenie.com,1,
qA,Entreprise Durand,Société,Châtenois,88170,http://www.lesmateriauxdautrefoisdurand.fr/,1,
qB,Entreprise Guedou,Société,Morancez,28630,https://www.paves-anciens-guedou.fr/,1,
yW,Envirobat Occitanie - Agence de Toulouse,Association,Toulouse,31500,https://www.envirobat-oc.fr/R-Occi,1,
yX,Envirobat Occitanie - Agence Montpellier,Association,Montpellier,34064,https://www.envirobat-oc.fr/R-Occi,1,
100,Equilibre Structures,Société,Paris,75012,https://equilibrestructuresdotfr.wpcomstaging.com/,1,
qF,Escaliers Lachaux,Société,Megève,74120,https://www.antiquitesphilippelachaux.fr/,1,
wc,Etablissement Muller,Société,Vervins,02140,http://www.muller-services.com/,1,
qI,ETH Zurich,Autre,Zurich,8049,https://sc.ibi.ethz.ch/en/education/cas-regenerative-materials.html/,1,
xV,FACEA,Société,Chambéry,73000,https://faceagroup.com/,1,
qU,Garnier Alban,Société,Saint-Étienne,42000,https://opalis.eu/fr/revendeurs/garnier-alban,1,
qZ,Genindus Enernov,Société,Crécy-la-Chapelle,77580,http://www.genindus-enernov.fr/,1,
qb,Genindus Enernov,Société,Rennes,35000,http://www.genindus-enernov.fr/,1,
qd,Genindus Enernov,Société,Latresne,33360,http://www.genindus-enernov.fr/,1,
qf,GeoBaPa by Soltracing,Autre,Paris,75012,https://soltracing.fr/geobapa,1,
qg,GERANIUM,Société,Puteaux,92800,http://www.geranium-environnement.com/,1,
qh,Grand Huit,Société,Paris,75019,https://grandhuit.eu/,1,
11m,Green Brique,Société,Simiane-Collongue,13109,www.greenbrique.com,1,
16y,Groupe Sodiatec,Acteur Envirobat Centre-Val de Loire,Tours,37000,https://sodiatec.fr,1,
ql,Guérin Cheminées,Société,Fresné-la-Mère,14700,https://www.guerin-cheminees.com/index.php,1,
yZ,Hélène Palisson Architecte,Société,Vindry-sur-Turdine,69490,https://www.architectes-pour-tous.fr/architectes-pour-tous/helene-palisson-architecte,1,
qy,INEC - Institut National de l'Economie Circulaire,Autre,Paris,75003,http://www.institut-economie-circulaire.fr,1,
y1,INITIATIVES SOLIDAIRES,Association,Stains,93240,www.initiativessolidaires.com,1,
170,Iscee Studio,Acteur Envirobat Centre-Val de Loire,Orleans,45000,https://iscee-studio.fr,1,
r0,Jean Guy,Société,Mons,31280,http://www.antiquaire-decorateur-batiment.com/,1,
yA,Kayak Architecture,Société,Chambéry,73000,https://www.architectes-pour-tous.fr/architectes-pour-tous/kayak-architecture,1,
r5,Koleno Métaux,Société,Saussay-la-Campagne,27150,http://www.koleno-metaux.fr/,1,
r6,L'Art et la Matière,Association,Mulhouse,68200,http://art-matiere.fr/,1,
xl,L'Atelier CNC,Société,Mérignac,33700,www.ateliercnc.fr,1,
r8,L'Écrouvis,Association,Saint-Nicolas-de-Redon,44460,http://www.ecrouvis.org/,1,
rB,La Belle ère,Société,Nantes,44200,https://labelleere.com/,1,
rH,La Maison de l'Economie Circulaire,Association,Lyon,69000,http://lamaisondeleconomiecirculaire.fr/,1,
rN,La Nouvelle Mine,Association,Gréasque,13850,http://lanouvellemine.fr/,1,
rO,La Pierre de Jadis,Société,Charentilly,37390,https://lapierredejadis.com/,1,
xx,La Pillotous,Association,Plumaudan,22350,https://pillotous.bzh/,1,
rS,La Requincaillerie,Association,Pantin,93500,http://www.requincaillerie.org/wp/,1,
rX,La Ressourcerie Verte,Association,Romans-sur-Isère,26100,http://laressourcerieverte.com/category/materiautheque/,1,
10J,La Réserve des Matériaux,Société,Brest,29200,https://la-reserve.bzh/,1,
119,La Scie Circulaire,Association,Lille,59000,https://sciecirculaire.ongseed.fr/,1,
ra,Labrouche Antiquaire de Matériaux,Société,Montendre,17130,http://antiquaire-de-materiaux.com/fr/,1,
rd,Lascombes Matériaux Anciens,Société,Soindres,78200,https://www.lascombesmateriauxanciens.com/gb/,1,
re,Lascombes Matériaux Anciens Sud-Ouest,Société,Saint-Laurent-la-Vallée,24170,https://www.lascombes-sud-ouest.fr/,1,
rf,Latitude 48,Société,Paris,75020,www.latitude48.net,1,
rg,LD Démolition,Société,Buchères,10800,https://opalis.eu/fr/revendeurs/ld-materiaux-demolition,1,
rh,Le Brico d'la Forêt,Société,Saint-Benoît-la-Forêt,37500,http://www.bonnaff-discount.com/,1,
11U,Le Chant des scies,Société,Merlevenez,56700,https://fr-fr.facebook.com/people/Le-chant-des-scies/100054412242528/,1,
rk,Le Grenier Beaujolais,Société,Lissieu,69380,https://www.materiaux-anciens-lissieu.fr/,1,
16h,Le Hangar d'AIMA Castelnau-Camblong,Plateforme de reemploi PEMB (enquete CERC-NA),Castetnau-Camblong,64190,https://www.aimalecoeur.org,1,
16j,Le Hangar d'AIMA Salies,Plateforme de reemploi PEMB (enquete CERC-NA),Salies-de-Bearn,64270,https://www.aimalecoeur.org,1,
rm,Le Parpaing,Association,Roubaix,59100,https://zerm.org/leparpaing,1,
y3,Le Plateau Circulaire,Société,Grentheville,14120,https://www.plateaucirculaire.fr/index.php/prestations/,1,
rn,Le Radiateur Fonte Rénovation,Société,Vigneux-sur-Seine,91270,http://www.radiateur-fonte-renovation.com/,1,
ro,Le Re-Scie-Clou Matériauthèque,Association,Die,26150,https://bisusus26.wixsite.com/rescieclou,1,
zz,Le Sommer Environnement,Société,Bordeaux,33100,https://lesommer.fr/,1,
yc,Le Tri-cycle enchanté,Association,Agonac,24460,www.tri-cycle.org,1,
rt,Legens,Société,Chambray-lès-Tours,37170,https://www.legens.com/,1,
ru,Legens,Société,Reignac-sur-Indre,37310,https://www.legens.com/,1,
rx,Les 2 Rives,Société,Lyon,69009,https://www.scop-les2rives.eu/,1,
